"","2","3","4"
"0.855",106420.087840507,144831.996348852,108665.073106739
"0.86",104396.807439858,143000.809004051,106288.993136073
"0.865",111108.088185629,147872.337875706,107148.353293743
"0.87",117234.799985724,155191.039201799,110198.600974003
"0.875",121781.389785545,156614.833815481,114038.555903784
"0.88",121182.663774444,156893.164874038,109891.037818416
"0.885",118443.580696797,164172.61288756,112685.08825217
"0.89",131381.092406343,178191.75298227,123085.410520699
"0.895",118916.78847481,171431.539934399,122440.388524519
"0.9",132999.432886912,178619.367776325,129205.370577472
"0.905",130266.941572201,174149.816629029,124547.274018585
"0.91",121163.3144198,179216.150926891,121571.158990237
"0.915",125118.442017679,181349.86503316,120477.2464328
"0.92",111377.004876573,184860.991644192,120311.265321377
"0.925",108371.735971104,189445.88212023,119105.31428847
"0.93",113536.621430284,196759.578176638,123329.475158591
"0.935",147303.251453357,198335.093568708,127046.38567205
"0.94",137285.428264392,189895.925620547,126059.268962459
"0.945",157035.51593737,181389.182027192,134954.831457083
"0.95",153559.528864254,186002.787677085,133778.107743855
"0.955",166162.138443535,185645.114670745,130253.559310583
"0.96",164485.7940385,187948.418621916,132724.265713601
"0.965",166604.050800488,189321.68553355,138224.29556212
"0.97",177870.376376671,198809.809527633,135238.414581116
"0.975",173564.622795949,201252.362532619,139346.420012375
"0.98",154857.143068579,199603.012509123,143373.840796164
"0.985",139141.389765778,203336.631258031,147256.505405752
"0.99",146034.932143769,203417.682295055,142673.454884683
