,1,2,3,4
0.69,15.9756461,18.07583717,20.51644754,23.03492637
0.695,16.08616443,18.19783572,20.67712562,23.23525571
0.7,16.17168172,18.35516617,20.85056821,23.40618138
0.705,16.30363423,18.48637714,21.00318677,23.52550299
0.71,16.41896951,18.60635156,21.15462305,23.68542875
0.715,16.50592316,18.72509968,21.32864888,23.89822588
0.72,16.58277469,18.82664419,21.52762213,24.0616035
0.725,16.70774512,18.94654468,21.63494605,24.1618406
0.73,16.80778998,19.09321304,21.7367945,24.32833234
0.735,16.90909145,19.22869434,21.86422909,24.47871314
0.74,17.0158232,19.36544171,21.96256615,24.60783267
0.745,17.13968816,19.50268438,22.13064593,24.77586218
0.75,17.24908142,19.603884,22.27513934,24.92210674
0.755,17.31544911,19.70544972,22.41040557,25.07290815
0.76,17.39860186,19.84451314,22.5622089,25.18506476
0.765,17.4838632,19.94534557,22.70590008,25.33907423
0.77,17.62333328,20.05925156,22.79734148,25.52726857
0.775,17.71135775,20.18968009,22.88467853,25.67890225
0.78,17.83194739,20.30496438,23.00145607,25.8183186
0.785,17.96081026,20.42685399,23.1769406,25.96120191
0.79,18.08692093,20.51683878,23.25816841,26.09186335
0.795,18.1644628,20.64196531,23.36292782,26.22091375
0.8,18.23233514,20.78305401,23.51477219,26.32345934
0.805,18.34758795,20.9051464,23.68040479,26.47615708
0.81,18.47029998,21.06443174,23.82655896,26.68134325
0.815,18.54959316,21.19083758,23.96989119,26.85347196
0.82,18.64322734,21.30759943,24.07962059,26.97679595
0.825,18.72896353,21.41614197,24.21629784,27.09825472
0.83,18.83921835,21.52766604,24.35030403,27.24122721
0.835,18.97286862,21.69809125,24.43737501,27.32445222
0.84,19.1119304,21.80676889,24.55160946,27.4728345
0.845,19.18407412,21.89119732,24.67863223,27.56072612
0.85,19.30997241,22.00463816,24.80048957,27.64060381
0.855,19.40178178,22.14554102,24.91600421,27.74732642
0.86,19.50103703,22.27959728,25.03618931,27.86317527
0.865,19.62523841,22.39277817,25.10669712,28.00890746
0.87,19.75509287,22.53596596,25.25248503,28.18179209
0.875,19.87700075,22.66289414,25.35948122,28.34828073
0.88,20.02145259,22.79873966,25.44422143,28.49303406
0.885,20.11905014,22.92683506,25.60540623,28.66023804
