,1,2,3,4
0.835,59.0661201,291667733.7,234765687.2,168240646.7
0.84,59.69467384,293386406.5,233277578,169464587.1
0.845,61.05331416,292603041.9,235990796.9,170218089.8
0.85,61.33811217,292236968,236537302.2,170740189.9
0.855,62.312306,294241535.3,238181415.2,172716726.2
0.86,62.42411235,297504398.2,242168740.5,174801035.6
0.865,63.22340984,300519394.4,243864719.6,176332962.4
0.87,63.66920151,304062134.7,246933153.1,177296956.6
0.875,63.40284361,306833165.4,248862292.9,179630733.5
0.88,63.67728435,307947856.9,251587183.6,181885567.4
0.885,65.07398313,312678263,253988618.1,183196879.4
0.89,65.23627602,314230678,255336714.7,184355944.8
0.895,67.20303813,313841963.4,257395973.6,186698520.1
0.9,67.52412513,316857620.5,259603695.2,189077872.5
0.905,69.06513112,320118901.3,261958365.2,191192151
0.91,69.32605752,324451020.1,263867285.9,191965535.6
0.915,70.194805,326411311.2,265381875.6,193751996.8
0.92,71.36112547,326126451.3,267102406.4,195766405.7
0.925,71.5111773,331201379.6,269717524.1,197223872.6
0.93,71.2384053,336309055.1,272269134.2,198988996.5
0.935,71.36249911,337370858.9,273319895.5,200375675.8
0.94,71.66065432,340061524.6,274499207.7,201699817.8
0.945,71.82814321,345229566.7,278644147.3,203239089.2
0.95,72.07456423,350128348,282025804.2,205652783.4
0.955,72.87672164,350140653.5,285442637,207687316.6
0.96,73.1322302,351488211,287965003,209387087
0.965,74.09745682,353745993.2,290875919.8,210494699.6
0.97,74.95324055,358366887,292253201.9,212837883.5
0.975,75.37174568,360207776,294055494.4,214640639.9
0.98,76.13823933,363070286.8,296472151.3,216795938.1
0.985,76.95654623,367995697.2,298519811.4,218834933.5
0.99,78.34512571,373616293.3,301826184.2,221028002.3
